SCOPUS_ID,eid,Author,title of paper,cit_count,uni_name,city,country,type
84970024965,2-s2.0-84970024965,Li X.,The contribution of the GRAV-D airborne gravity to geoid determination in the Great Lakes region,11,"DST, Inc.",Silver Spring,United States,Article
84964683518,2-s2.0-84964683518,Lee T.,Consistency of Aquarius sea surface salinity with Argo products on various spatial and temporal scales,23,Jet Propulsion Laboratory,Pasadena,United States,Article
84966349241,2-s2.0-84966349241,Klingmüller K.,Aerosol optical depth trend over the Middle East,64,Max Planck Institute for Chemistry,Mainz,Germany,Article
84954308926,2-s2.0-84954308926,Chen J.,"Long-term groundwater storage change in Victoria, Australia from satellite gravity and in situ observations",36,The University of Texas at Austin,Austin,United States,Article
84969504479,2-s2.0-84969504479,Dinnat E.,Recent improvements in L-band observations of ocean salinity by aquarius,0,NASA Goddard Space Flight Center,Greenbelt,United States,Conference Paper
84961218970,2-s2.0-84961218970,Akhil V.,Assessment of seasonal and year-to-year surface salinity signals retrieved from SMOS and Aquarius missions in the Bay of Bengal,8,LEGOS Laboratoire d'Etudes en Géophysique et Océanographie Spatiales,Toulouse,France,Article
84958954996,2-s2.0-84958954996,Schlanger M.,The Just Barely Sustainable California Prisoners’ Rights Ecosystem,4,"University of Michigan, Ann Arbor",Ann Arbor,United States,Article
84961145451,2-s2.0-84961145451,Chen J.,Groundwater Storage Changes: Present Status from GRACE Observations,43,The University of Texas at Austin,Austin,United States,Article
84958104607,2-s2.0-84958104607,Zehentner N.,Precise orbit determination based on raw GPS measurements,29,Technische Universitat Graz,Graz,Austria,Article
84961768119,2-s2.0-84961768119,Chen J.,"Broadband assessment of degree-2 gravitational changes from GRACE and other estimates, 2002-2015",8,The University of Texas at Austin,Austin,United States,Article
84959020201,2-s2.0-84959020201,Fuchs M.,Distributed fault slip model for the 2011 Tohoku-Oki earthquake from GNSS and GRACE/GOCE satellite gravimetry,9,Technical University of Munich,Munich,Germany,Article
84957894068,2-s2.0-84957894068,Gaw C.E.,Emergency department visits for head trauma in the United States,34,University of Pennsylvania Perelman School of Medicine,Philadelphia,United States,Article
85042816348,2-s2.0-85042816348,Klingmüller K.,Aerosol optical depth trend over the Middle East,0,Max Planck Institute for Chemistry,Mainz,Germany,Article
84971406602,2-s2.0-84971406602,Dahle C.,Gravity field mapping from GRACE: Different approaches—same results?,1,Deutsches GeoForschungsZentrum (GFZ),Potsdam,Germany,Conference Paper
84987940156,2-s2.0-84987940156,Momin I.,A review of recent evaluation of satellite estimates sea surface salinity in the tropical Indian Ocean,0,National Centre for Medium Range Weather Forecasting India,Noida,India,Conference Paper
85006893252,2-s2.0-85006893252,Verma A.,Analysis of groundwater anomalies using grace over various districts of Jharkhand,0,"Birla Institute of Technology, Mesra",Ranchi,India,Conference Paper
84948783587,2-s2.0-84948783587,Downey D.,Disaster Recovery in Black and White: A Comparison of New Orleans and Gulfport,2,Grand Valley State University,Allendale,United States,Article
84951182644,2-s2.0-84951182644,Allende-Alba G.,Robust and precise baseline determination of distributed spacecraft in LEO,24,Deutsches Zentrum fur Luft- Und Raumfahrt, Cologne,Germany,Article
84954304701,2-s2.0-84954304701,Heitman N.,"Increasing incidence of ehrlichiosis in the United States: A summary of national surveillance of ehrlichia chaffeensis and ehrlichia ewingii infections in the United States, 2008-2012",37,Viral and Rickettsial Zoonoses Br.,Atlanta,United States,Article
84954504561,2-s2.0-84954504561,Wang W.,Modeling and analysis of three types of empirical accelerations in precise orbit determination,1,Chinese Academy of Sciences,Beijing,China,Article
84931082001,2-s2.0-84931082001,Piepmeier J.,Aquarius L-Band Microwave Radiometer: 3 Years of Radiometric Performance and Systematic Effects,7,NASA Goddard Space Flight Center,Greenbelt,United States,Article
84940707197,2-s2.0-84940707197,Tang W.,Rain-Induced Near Surface Salinity Stratification and Rain Roughness Correction for Aquarius SSS Retrieval,11,Jet Propulsion Laboratory,Pasadena,United States,Article
84949959728,2-s2.0-84949959728,Dinnat E.,Aquarius L-band Radiometers Calibration Using Cold Sky Observations,13,Chapman University,Orange,United States,Article
84947741547,2-s2.0-84947741547,Taksler G.B.,Association of Influenza Vaccination Coverage in Younger Adults with Influenza-Related Illness in the Elderly,7,Cleveland Clinic Foundation,Cleveland,United States,Article
84962578967,2-s2.0-84962578967,Xie Z.,Terrestrial total water storage dynamics of Australia's recent dry and wet events,0,University of Technology Sydney,Sydney,Australia,Conference Paper
84945457032,2-s2.0-84945457032,Hu L.,"Calibration of a large-scale groundwater flow model using GRACE data: a case study in the Qaidam Basin, China",18,Beijing Normal University,Beijing,China,Article
84955103223,2-s2.0-84955103223,Jasin S.,An LP-based correlated rounding scheme for multi-item ecommerce order fulfillment,21,Stephen M. Ross School of Business,Ann Arbor,United States,Article
84941023652,2-s2.0-84941023652,Chen J.,Reducing leakage error in GRACE-observed long-term ice mass change: a case study in West Antarctica,40,The University of Texas at Austin,Austin,United States,Article
84949266635,2-s2.0-84949266635,Chinnasamy P.,"Understanding groundwater storage changes and recharge in Rajasthan, India through remote sensing",24,International Water Management Institute,Kathmandu,Nepal,Article
84945972235,2-s2.0-84945972235,Schavemaker J.,Fast re-ranking of visual search results by example selection,0,Nederlandse Organisatie voor toegepast natuurwetenschappelijk onderzoek- TNO,Den Haag,Netherlands,Conference Paper
84946563909,2-s2.0-84946563909,Liu L.,Time-space SST variability in the Atlantic during 2013: Seasonal cycle,2,National Center for Environmental Prediction,Camp Springs,United States,Article
84939288270,2-s2.0-84939288270,Kao H.,Salinity fronts in the tropical Pacific Ocean,20,Earth and Space Research,Seattle,United States,Article
84919836477,2-s2.0-84919836477,Chang J.,"Correlates of, and Barriers to, Internet Use Among Older Adults",33,"California State University, San Bernardino",San Bernardino,United States,Article
84949235741,2-s2.0-84949235741,Ning S.,Remote sensing based analysis of recent variations in water resources and vegetation of a semi-arid region,4,University of Yamanashi,Kofu,Japan,Article
84945156503,2-s2.0-84945156503,Holt C.,"Assimilation of tropical cyclone observations: Improving the assimilation of tcvitals, scatterometer winds, and dropwindsonde observations",3,Texas A&amp;M University,College Station,United States,Article
84936998986,2-s2.0-84936998986,Dahlgren F.,Human granulocytic anaplasmosis in the United States from 2008 to 2012: A summary of national surveillance data,40,Oak Ridge Institute for Science and Education,Oak Ridge,United States,Article
84937067293,2-s2.0-84937067293,Toyoda T.,Improvements to a global ocean data assimilation system through the incorporation of Aquarius surface salinity data,12,Meteorological Research Institute,Tsukuba,Japan,Article
84947019957,2-s2.0-84947019957,Lynch B.,Health Care Utilization by Body Mass Index in a Pediatric Population,14,Mayo Clinic,Rochester,United States,Article
84929447907,2-s2.0-84929447907,Jenkovszky L.,Low-|t| structures in elastic scattering at the LHC,5,Bogolyubov Institute for Theoretical Physics Nasu,Kiev,Ukraine,Article
84992404012,2-s2.0-84992404012,Feng F.,Validity of five satellite-based latent heat flux algorithms for semi-arid ecosystems,10,Beijing Normal University,Beijing,China,Article
84946231396,2-s2.0-84946231396,Rodell M.,The observed state of the water cycle in the early twenty-first century,91,NASA Goddard Space Flight Center,Greenbelt,United States,Article
84918544610,2-s2.0-84918544610,Larour E.,Inferred basal friction and surface mass balance of the Northeast Greenland Ice Stream using data assimilation of ICESat (Ice Cloud and land Elevation Satellite) surface altimetry and ISSM (Ice Sheet System Model),32,Jet Propulsion Laboratory,Pasadena,United States,Article
84915809668,2-s2.0-84915809668,Tang W.,Validation of Aquarius sea surface salinity with in situ measurements from Argo floats and moored buoys,47,Jet Propulsion Laboratory,Pasadena,United States,Article
84927613287,2-s2.0-84927613287,Meissner T.,The emission and scattering of L-band microwave radiation from rough ocean surfaces and wind speed measurements from the Aquarius sensor,52,Remote Sensing Systems,Santa Rosa,United States,Article
84893851943,2-s2.0-84893851943,Bentamy A.,Spatial and temporal characteristics of wind and wind power off the coasts of Brittany,14,IFREMER Institut Francais de Recherche pour l'Exploitation de la Mer,Plouzane,France,Article
84946057805,2-s2.0-84946057805,Schreier S.,Differences in satellite-derived NO<inf>x</inf> emission factors between Eurasian and North American boreal forest fires,13,"International Institute for Applied Systems Analysis, Laxenburg",Laxenburg,Austria,Article
84946693024,2-s2.0-84946693024,Afandi S.,Fuzzy C-means for Deforestation Identification Based on Remote Sensing Image,1,IPB University,Bogor,Indonesia,Conference Paper
84894117145,2-s2.0-84894117145,Martin K.,"Pediatric shopping-cart-related injuries treated in US emergency departments, 1990-2011",10,Philadelphia College of Osteopathic Medicine,Philadelphia,United States,Article
84892953617,2-s2.0-84892953617,Falls G.,"Casinos, casino size, and crime: A panel data analysis of Michigan counties",3,Central Michigan University,Mount Pleasant,United States,Article
84893954027,2-s2.0-84893954027,Zhang B.,High-Resolution hurricane vector winds from C-band dual-polarization SAR observations,54,Nanjing University of Information Science and Technology,Nanjing,China,Article
84937718846,2-s2.0-84937718846,Pardal P.,Dealing with particle filter sample impoverishment for orbit determination application,0,Universidade de Sao Paulo - USP,Sao Paulo,Brazil,Conference Paper
84898985668,2-s2.0-84898985668,Pardal P.,Orbit determination using nonlinear particle filter and GPS measurements,3,Universidade Federal de Sao Paulo,Sao Paulo,Brazil,Conference Paper
84896495632,2-s2.0-84896495632,Farrelly M.C.,Are tobacco control policies effective in reducing young adult smoking?,15,RTI International,Research Triangle Park,United States,Article
84901502779,2-s2.0-84901502779,Alsweiss S.,A non-MLE approach for satellite scatterometer wind vector retrievals in tropical cyclones,0,"Global Science and Technology, Inc.",Greenbelt,United States,Article
84940238971,2-s2.0-84940238971,Durrant T.,Correcting marine surface winds simulated in atmospheric models using spatially and temporally varying linear regression,5,Bureau of Meteorology Australia,Melbourne,Australia,Article
84904629862,2-s2.0-84904629862,Melnichenko O.,Spatial optimal interpolation of aquarius sea surface salinity: Algorithms and implementation in the North Atlantic,19,School of Ocean and Earth Science and Technology,Honolulu,United States,Article
84884217973,2-s2.0-84884217973,Grodsky S.,Year-to-year salinity changes in the Amazon plume: Contrasting 2011 and 2012 Aquarius/SACD and SMOS satellite data,46,University of Maryland,College Park,United States,Article
84895757887,2-s2.0-84895757887,Chen J.,Long-term groundwater variations in Northwest India from satellite gravity measurements,101,The University of Texas at Austin,Austin,United States,Article
84939885391,2-s2.0-84939885391,Richter I.,What controls equatorial Atlantic winds in boreal spring?,23,Japan Agency for Marine-Earth Science and Technology,Yokosuka,Japan,Article
84901029274,2-s2.0-84901029274,Zelensky N.,Estimated SLR station position and network frame sensitivity to time-varying gravity,11,"KBR Inc., USA",Houston,United States,Article
84915746198,2-s2.0-84915746198,Vernieres G.,The impact of the assimilation of Aquarius sea surface salinity data in the GEOS ocean data assimilation system,11,NASA Goddard Space Flight Center,Greenbelt,United States,Article
84899544429,2-s2.0-84899544429,Skene K.,"A marginal benefit approach for vaccinating influenza "" superspreaders""",4,Yale School of Medicine,New Haven,United States,Article
84906076921,2-s2.0-84906076921,Hackert E.,Impact of Aquarius sea surface salinity observations on coupled forecasts for the tropical Indo-Pacific Ocean,24,University of Maryland,College Park,United States,Article
84899951501,2-s2.0-84899951501,Ranson M.,"Crime, weather, and climate change",102,"Abt Associates, Inc.",Cambridge,United States,Article
84904163410,2-s2.0-84904163410,Teplin L.,Firearm homicide and other causes of death in delinquents: A 16-year prospective study,29,Northwestern University Feinberg School of Medicine,Chicago,United States,Article
85027921718,2-s2.0-85027921718,Rasooly I.R.,"US emergency department use by children, 2001-2010",24,School of Medicine and Health Sciences,"Washington, D.C.",United States,Review
84913592113,2-s2.0-84913592113,Valdez A.,Pediatric exposure to laundry detergent pods,40,University of Washington School of Medicine,Seattle,United States,Article
84904878302,2-s2.0-84904878302,DiGuiseppi C.,Church-based social marketing to motivate older adults to take balance classes for fall prevention: Cluster randomized controlled trial,9,Colorado School of Public Health,Aurora,United States,Article
84908583258,2-s2.0-84908583258,Lorenz C.,Large-scale runoff from landmasses: A global assessment of the closure of the hydrological and atmospheric water balances,36,Karlsruhe Institute of Technology,Karlsruhe,Germany,Article
84915822581,2-s2.0-84915822581,Reagan J.,Comparison analysis between Aquarius sea surface salinity and World Ocean Database in situ analyzed sea surface salinity,8,National Oceanic and Atmospheric Administration,"Washington, D.C.",United States,Article
84896878747,2-s2.0-84896878747,Munekane H.,The satellite gravity mission GRACE from below,0,Geospatial Information Authority of Japan,Tsukuba,Japan,Article
84880610838,2-s2.0-84880610838,Tang W.,The rain effect on Aquarius' L-band sea surface brightness temperature and radar backscatter,25,Jet Propulsion Laboratory,Pasadena,United States,Article
84884665126,2-s2.0-84884665126,Barletta V.,Scatter of mass changes estimates at basin scale for Greenland and Antarctica,48,Danmarks Tekniske Universitet,Lyngby,Denmark,Article
84884316027,2-s2.0-84884316027,Cheng M.,Geocenter Variations from Analysis of SLR Data,42,The University of Texas at Austin,Austin,United States,Conference Paper
84886722443,2-s2.0-84886722443,Sun A.,Predicting groundwater level changes using GRACE data,61,Bureau of Economic Geology,Austin,United States,Article
84884220002,2-s2.0-84884220002,Athens J.,Using empirical bayes methods to rank counties on population health measures,4,NYU Grossman School of Medicine,New York,United States,Letter
84882791169,2-s2.0-84882791169,Fasullo J.,Australia's unique influence on global sea level in 2010-2011,104,National Center for Atmospheric Research,Boulder,United States,Article
84881335280,2-s2.0-84881335280,Sivareddy S.,Evaluation of ASCAT-Based daily gridded winds in the tropical Indian ocean,10,Indian National Centre for Ocean Information Services,Hyderabad,India,Article
84882287000,2-s2.0-84882287000,De Roo A.,"Television-related injuries to children in the united states, 1990-2011",14,The Ohio State University College of Medicine,Columbus,United States,Article
84876422225,2-s2.0-84876422225,Li A.,Blending multi-resolution satellite sea surface temperature (SST) products using Bayesian maximum entropy method,30,Beijing Normal University,Beijing,China,Article
84878456915,2-s2.0-84878456915,Chong J.,The prevalence of epilepsy along the Arizona-Mexico border,13,The University of Arizona,Tucson,United States,Article
84879984366,2-s2.0-84879984366,Chen J.,Rapid ice melting drives Earth's pole to the east,36,The University of Texas at Austin,Austin,United States,Article
84875940489,2-s2.0-84875940489,Bentamy A.,Compatibility of C- and Ku-band scatterometer winds: ERS-2 and QuikSCAT,20,IFREMER Institut Francais de Recherche pour l'Exploitation de la Mer,Plouzane,France,Article
